HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.vid_url,Answer.answer,Approve,Reject
363A7XIFV4ZNGDH9ET4TXSQZPJBVAQ,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:01 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:01 PDT 2017,,,339ANSOTR6FRT44PHFN101YNXATIK3,ARMFGI3LBQ0KT,Submitted,Mon Aug 21 19:23:06 PDT 2017,Mon Aug 21 19:23:40 PDT 2017,Mon Aug 28 19:23:40 PDT 2017,,,,34,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/Y4ARBzok9aU_027.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":10.77,""start_time"":8.55},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":0,""start_time"":0},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":0,""start_time"":0}]}]",x,
363A7XIFV4ZNGDH9ET4TXSQZPJBVAQ,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:01 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:01 PDT 2017,,,3H7Z272LX8KUUW9BFAPMOYCE8NBPL5,A1A8MV3CZHDADG,Submitted,Mon Aug 21 15:24:21 PDT 2017,Mon Aug 21 15:26:32 PDT 2017,Mon Aug 28 15:26:32 PDT 2017,,,,131,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/Y4ARBzok9aU_027.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":10.81,""start_time"":8.39},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":26.12,""start_time"":19.86},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":31.62,""start_time"":27.86}]}]",x,
363A7XIFV4ZNGDH9ET4TXSQZPJBVAQ,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:01 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:01 PDT 2017,,,3MAOD8E57RNPR5ENDEFIV326FI2NXD,A2VVA21VWJ11ZW,Submitted,Mon Aug 21 19:55:40 PDT 2017,Mon Aug 21 19:56:30 PDT 2017,Mon Aug 28 19:56:30 PDT 2017,,,,50,100% (50/50),100% (50/50),100% (50/50),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/Y4ARBzok9aU_027.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.71,""start_time"":8.79},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":26.9,""start_time"":20.43},{""cam_view"":""front"",""slow_motion"":true,""stop_time"":31.32,""start_time"":28.59}]}]",x,
363A7XIFV4ZNGDH9ET4TXSQZPJBVAQ,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:01 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:01 PDT 2017,,,3PZDLQMM0UY5ZLEZ0ZLBP2EY32XC2D,AMYMT0PCOESR2,Submitted,Mon Aug 21 11:52:26 PDT 2017,Mon Aug 21 11:55:00 PDT 2017,Mon Aug 28 11:55:00 PDT 2017,,,,154,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/Y4ARBzok9aU_027.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.76,""start_time"":8.42},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":27.5,""start_time"":19.79},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":33.06,""start_time"":27.83}]}]",,You only label one or less instance which doesn't meet our demand.
363A7XIFV4ZNGDH9ET4TXSQZPJBVAQ,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:01 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:01 PDT 2017,,,3UXUOQ9OKFAOS7E7MX6FFY5IEHKA7F,AX3SMRTIUDC6U,Submitted,Mon Aug 21 17:43:27 PDT 2017,Mon Aug 21 17:47:42 PDT 2017,Mon Aug 28 17:47:42 PDT 2017,,,,255,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/Y4ARBzok9aU_027.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":11.33,""start_time"":8.74},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":26.06,""start_time"":20.55},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":32.02,""start_time"":28.39}]}]",x,
3TLFH2L6Y91JYIIGWJBZQSJGGA42TB,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3GNCZX450J0DYDI7IJ0WFKW3EARAPL,A1A8MV3CZHDADG,Submitted,Mon Aug 21 14:03:22 PDT 2017,Mon Aug 21 14:05:52 PDT 2017,Mon Aug 28 14:05:52 PDT 2017,,,,150,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/V5parOfpuEQ_048.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":27.79,""start_time"":24.59},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":41.8,""start_time"":35.44},{""cam_view"":""top"",""slow_motion"":true,""stop_time"":49,""start_time"":44.7}]}]",x,
3TLFH2L6Y91JYIIGWJBZQSJGGA42TB,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3KMS4QQVK337JD2ZG7HGX4LVHHZFK5,A2GEEAIW2BIMEH,Submitted,Mon Aug 21 18:35:10 PDT 2017,Mon Aug 21 18:37:55 PDT 2017,Mon Aug 28 18:37:55 PDT 2017,,,,165,0% (0/0),0% (0/0),0% (0/0),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/V5parOfpuEQ_048.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":28.14,""start_time"":25.32},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":43.18,""start_time"":36.03},{""cam_view"":""side"",""slow_motion"":false,""stop_time"":49.76,""start_time"":45.2}]}]",x,
3TLFH2L6Y91JYIIGWJBZQSJGGA42TB,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3QFUFYSY9ZSM5BDWVFU0QNWZKWC4F9,A2VVA21VWJ11ZW,Submitted,Mon Aug 21 20:12:16 PDT 2017,Mon Aug 21 20:13:28 PDT 2017,Mon Aug 28 20:13:28 PDT 2017,,,,72,100% (50/50),100% (50/50),100% (50/50),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/V5parOfpuEQ_048.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":28.51,""start_time"":25.48},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":41.78,""start_time"":35.66},{""cam_view"":""top"",""slow_motion"":true,""stop_time"":50.45,""start_time"":45.49}]}]",x,
3TLFH2L6Y91JYIIGWJBZQSJGGA42TB,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3WLEIWSYHPUWGTPFMRZC0TBEGXT2H9,A1YGSIQI52QT9L,Submitted,Mon Aug 21 20:27:16 PDT 2017,Mon Aug 21 20:28:30 PDT 2017,Mon Aug 28 20:28:30 PDT 2017,,,,74,100% (48/48),100% (48/48),100% (48/48),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/V5parOfpuEQ_048.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""front"",""slow_motion"":false,""stop_time"":27.65,""start_time"":3.34},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":41.64,""start_time"":35.61},{""cam_view"":""top"",""slow_motion"":true,""stop_time"":48.79,""start_time"":45.63}]}]",x,
3TLFH2L6Y91JYIIGWJBZQSJGGA42TB,3JEJVC0BACP0ACQ5IL1815R6EAPNK8,Record the start time and stop time of all diving actions in a 1min video,Record the start time and stop time of all diving instances in a ~1min video,"video, segmentation, label",$0.05,Mon Aug 21 11:25:02 PDT 2017,5,BatchId:2913769;OriginalHitTemplateId:920937336;,3600,604800,Mon Aug 28 11:25:02 PDT 2017,,,3Y9N9SS8LZO4PVGW4VURSI18UJ03DC,A2V8LLZRTOP79S,Submitted,Mon Aug 21 20:55:26 PDT 2017,Mon Aug 21 21:09:25 PDT 2017,Mon Aug 28 21:09:25 PDT 2017,,,,839,100% (5/5),100% (5/5),100% (5/5),http://svcl.ucsd.edu/~yingwei/internal/diving_share/firstphase/video_first10/V5parOfpuEQ_048.mp4,"[{""action1"":"""",""action2"":"""",""action3"":"""",""action4"":"""",""athelete_name"":"""",""cam_view"":"""",""position"":"""",""slow_motion"":false,""start_time"":-1,""stop_time"":-1,""dive"":"""",""difficulty"":0,""comment"":"""",""score_time"":-1,""exe_score"":"""",""instances"":[{""cam_view"":""side"",""slow_motion"":false,""stop_time"":27.74,""start_time"":25.39},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":42.06,""start_time"":36.07},{""cam_view"":""side"",""slow_motion"":true,""stop_time"":49.13,""start_time"":45.4}]}]",x,
